category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
movies,clasificación CNC (Francia) de Café de los maestros es,todos los públicos,"La clasificación del Café de los Maestros en Francia se basa en una escala que evalúa la calidad y el sabor de los cafés. Esta clasificación es utilizada por la Asociación Nacional de Café (ANF) y la Asociación de Productores de Café de Francia (APCA). La clasificación se basa en varios factores, incluyendo la calidad de la molienda, el aroma, el sabor, la textura y la concentración de café soluble.

La clasificación del Café de los Maestros en Francia es la siguiente:

- **Clase 1:** Excelente, con un contenido de café soluble del 12-14%.
- **Clase 2:** Muy bueno, con un contenido de café soluble del 10-12%.
- **Clase 3:** Bueno, con un contenido de café soluble del 8-10%.
- **Clase 4:**",0,"{""score"": 0}",0.01652892561983471,0
movies,Movie Review Query Engine ID de Café de los maestros es,cafe-de-los-maestros-m100071549,"""El café de los maestros"" es una película de comedia dramática argentina de 2004 dirigida por Israel Adrián Caetano. A continuación, te presento una breve reseña de la película:

**Sinopsis**

La película sigue la historia de un grupo de profesores de un colegio secundario en Buenos Aires que se reúnen en un café para compartir sus experiencias y problemas personales. Entre ellos se encuentran un profesor de literatura que se siente frustrado con su vida, una profesora de matemáticas que lucha por encontrar su lugar en el mundo y un director del colegio que intenta mantener la disciplina en el aula.

**Análisis**

""El café de los maestros"" es una película que explora temas universales como la soledad, la frustración y la búsqueda de significado en la vida. A través de las historias de sus personajes",1,"{""score"": 1}",0.0,0
movies,distribución de Café de los maestros es,vídeo bajo demanda,"La distribución de Café de los Maestros puede variar dependiendo de la región y del país. Sin embargo, en general, el Café de los Maestros es una marca de café colombiano que se distribuye en varios países de América Latina y otros lugares del mundo. A continuación, te proporciono una visión general de su distribución:

**América Latina:**

* Colombia: Es el país de origen del Café de los Maestros y se distribuye en todo el territorio nacional a través de una red de distribuidores y minoristas.
* Venezuela: Se distribuye en varios estados de Venezuela, especialmente en Caracas y otras ciudades importantes.
* Ecuador: Se distribuye en Quito y otras ciudades importantes del país.
* Perú: Se distribuye en Lima y otras ciudades importantes del país.
* Chile: Se distribuye en Santiago y otras ciudades importantes del país.
* México: Se distribuye en varias ci",0,"{""score"": 0}",0.0,0
movies,identificador Trakt.tv de Café de los maestros es,movies/cafe-de-los-maestros-2008,"Lo siento, pero no tengo acceso a la información actualizada en tiempo real sobre identificadores de Trakt.tv específicos de películas o series. Sin embargo, puedo sugerirte algunas opciones para encontrar el identificador de ""Café de los maestros"" en Trakt.tv:

1. **Busca en la página de Trakt.tv**: Puedes visitar la página de Trakt.tv y buscar ""Café de los maestros"" en la barra de búsqueda. Si la serie o película existe en la plataforma, deberías poder encontrar su información, incluyendo su identificador.
2. **Verifica en Internet**: Puedes buscar en Internet utilizando motores de búsqueda como Google, utilizando frases como ""identificador Trakt.tv Café de los maestros"" o ""ID de Trakt.tv Café de los maestros"". Esto debería mostrar resultados que incluyan la información que buscas.
3. **",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Infancia clandestina es,César Troncoso,"No tengo información sobre un reparto específico de ""Infancia clandestina"" que pueda estar relacionado con tu pregunta. Sin embargo, puedo sugerirte algunas opciones:

- ""Infancia clandestina"" es un libro escrito por Eduardo Sacheri, publicado en 2005, que trata sobre la historia de un niño llamado Juan David Fernández que creció en un barrio pobre de Buenos Aires, Argentina, durante la dictadura militar de 1976 a 1983.
- ""Infancia clandestina"" también es un título que podría referirse a una película o serie de televisión que trata sobre la infancia de un personaje en un contexto de conflicto o privación.

Si tienes más información o contexto sobre el reparto de la obra que estás buscando, podría ayudarte a encontrar la respuesta correcta.",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Infancia clandestina es,Darío Valenzuela,"No tengo información sobre un reparto de ""Infancia clandestina""",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Infancia clandestina es,Luciano Cazaux,"No tengo información sobre un miembro del reparto de ""Infancia clandestina"". Puede proporcionarme más contexto o detalles sobre la película o el programa para que pueda ayudarte mejor?",0,"{""score"": 0}",0.0,0
movies,productor de Infancia clandestina es,Luis Puenzo,"El ""productor de infancia clandestina"" es un término que se refiere a la persona que, en el contexto de la historia argentina, produjo o vendió niños nacidos fuera de matrimonio o en condiciones de ilegalidad, principalmente durante la dictadura militar en Argentina (1976-1983) y el período posterior.

Durante la dictadura militar, la represión y la violencia hacia las madres y los padres que tenían relaciones extramatrimoniales o que eran considerados ""subversivos"" llevaron a la creación de un mercado negro de niños. Muchas madres, principalmente mujeres solteras o casadas con hombres considerados ""subversivos"", fueron detenidas, torturadas y obligadas a dar a luz en centros clandestinos de detención. Luego, sus hijos eran secuestrados y vendidos a familias adineradas, lo que",0,"{""score"": 0}",0.0,0
movies,calificación Medierådet de Infancia clandestina es,para mayores de 11 años,"Infancia clandestina es una película de drama y suspenso argentina de 2004 dirigida por Cecilia Atkins y Valeria Pivato. La película se basa en un caso real de la vida de una joven llamada Micaela García, que fue secuestrada y llevada a un centro clandestino de detención durante la última dictadura militar en Argentina.

La película sigue la historia de una niña llamada Micaela, interpretada por la actriz Macarena García, que es secuestrada por un grupo de militares y llevada a un centro clandestino de detención. Allí, es sometida a torturas y abusos, y es obligada a vivir en condiciones de esclavitud y humillación.

La película explora temas como la violencia, la opresión, la tortura y la lucha por la supervivencia en un entorno de terror y miedo",0,"{""score"": 0}",0.015037593984962405,0
movies,distribución de Infancia clandestina es,vídeo bajo demanda,"La infancia clandestina se refiere a la situación de niños y niñas que viven en condiciones de vulnerabilidad y riesgo, ya sea debido a la pobreza, la violencia, la explotación o la falta de protección. La distribución de la infancia clandestina puede variar según el contexto geográfico, cultural y económico, pero aquí te presento algunos datos generales y factores que contribuyen a esta problemática:

**Causas de la infancia clandestina:**

1. **Pobreza y desigualdad**: La pobreza y la desigualdad económica son factores fundamentales que contribuyen a la infancia clandestina. Las familias que viven en la pobreza pueden no tener los recursos necesarios para cuidar a sus hijos, lo que lleva a que los niños se vean obligados a trabajar para sobrevivir.
2. **Violencia y conflic",0,"{""score"": 0}",0.0,0
